Year,Month,ATM - Europe,ATM - Intercontinental,ATM – Total,Pass – Europe,Pass – Intercontinental,Pass – Total,Pass – O&D,Pass – Transfer,Pass – Total.1,Pass – Scheduled,Pass – Non Scheduled,Pass – Transit direct,Pass – Total.2,Cargo (tonnes),Mail (tonnes)
1992,Total,200566,38246,238812,12628221,6084369,18712590,12965174,5747416,18712590,15618006,3094584,432474,19145064,695040.311,28799.41
1993,Total,216872,42803,259675,13884524,6885688,20770212,13094576,7675636,20770212,17715938,3054274,504057,21274269,775377.646,33588.952
1994,Total,228163,45901,274064,15357944,7711763,23069707,14410593,8659114,23069707,19883172,3186535,490091,23559798,837904.067,36573.84
1995,Total,239275,51415,290690,16248508,8608198,24856706,15231696,9625010,24856706,21480170,3376536,498295,25355001,977531.251,41783.804
1996,Total,265804,55976,321780,17671327,9590717,27262044,16312216,10949828,27262044,23789314,3472730,532837,27794881,1082845.837,41805.761
1997,Total,290064,59412,349476,20389033,10631969,31021002,17929440,13091562,31021002,27304883,3716119,548975,31569977,1161233.848,46048.29
1998,Total,314549,62261,376810,22626274,11325874,33952148,19608768,14343380,33952148,29956021,3996127,467995,34420143,1171255.622,47489.871
1999,Total,329684,63922,393606,24282534,12142579,36425113,20950665,15474448,36425113,32099376,4325737,346902,36772015,1180716.863,44567.249
2000,Total,348720,66208,414928,26360776,12909834,39270610,22723260,16547350,39270610,34496436,4774174,336315,39606925,1222593.924,44792.162
2001,Total,348697,67765,416462,26801533,12507908,39309441,23284957,16024484,39309441,34597071,4712370,221682,39531123,1183208.071,50952.598
2002,Total,332570,68815,401385,28054623,12532939,40587562,23580736,17006826,40587562,36102477,4485085,148447,40736009,1239899.809,48726.006
2003,Total,321948,71049,392997,27701903,12106746,39808649,23466695,16341954,39808649,35589774,4218875,151751,39960400,1306155.295,47605.052
2004,Total,325703,77035,402738,28959662,13465730,42425392,24457204,17968188,42425392,38034588,4390804,115788,42541180,1421022.603,46180.584
2005,Total,324307,80512,404819,29746153,14331061,44077214,25412926,18664288,44077214,39933756,4143458,79791,44157005,1449795.176,46063.505
2006,Total,342101,81174,423275,31286807,14700740,45987547,26861539,19126008,45987547,42278322,3709225,78918,46066465,1526501.514,40321.399
2007,Total,352933,83157,436090,32517044,15227858,47744902,28014342,19730560,47744902,44507405,3237497,50246,47795148,1610282.396,41102.813
2008,Total,342700,85952,428652,31725823,15666116,47391939,27071867,20320072,47391939,43789656,3602283,38173,47430112,1567711.959,34872.928
2009,Total,313383,77986,391369,28990473,14532639,43523112,24668806,18854306,43523112,39983690,3539422,47260,43570372,1286372.30901368,30748.731
2010,Total,304533,81855,386388,29772346,15364621,45136967,26390347,18746620,45136967,42122863,3014104,74782,45211749,1512255.62450589,25878.23839
2011,Total,336169,84180,420349,33825310,15855315,49680625,29491315,20189310,49680625,47152347,2528278,74627,49755252,1523805.85479973,25880.382
2012,Total,340198,83255,423453,34647266,16328326,50975592,30100632,20874960,50975592,48240587,2735005,59998,51035590,1483448.0880704,28375.2905
2013,Total,341385,84199,425584,35671436,16856263,52527699,30515701,22011998,52527699,49818536,2709163,41501,52569200,1531088.54807443,34871.538
2014,Total,353786,84510,438296,37903464,17037070,54940534,32665136,22275398,54940534,52233152,2707382,37489,54978023,1633194.92458646,37480.62
2015,Total,364602,86077,450679,40683215,17562330,58245545,35212953,23032592,58245545,55977282,2268263,39319,58284864,1620969.51650854,34384.897
2016,Total,390228,88635,478863,45121520,18412190,63533710,39497377,24036333,63533710,62032189,1501521,91824,63625534,1666359.8738,32447.099
2017,Total,404768,91972,496740,48649342,19751804,68401146,43086344,25314802,68401146,66225540,2175606,114279,68515425,1761059.644,25811.326
2018,Total,406249,93195,499444,49979656,20976938,70956594,44992618,25964126,70956594,69403648,1552946,96553,71053147,1716497.10828,21486.454
2019,Total,404624,92202,496826,50542973,21137361,71680334,45807812,25872522,71680334,71092189,588145,26665,71706999,1443885.0807,19621.671
2020,Total,172356,54948,227304,15122741,5758723,20881464,12096950,8784514,20881464,20759567,121897,2580,20884044,1441521.0,14831.0
2021,Total,205300,61667,266967,18981096,6509728,25490824,14362224,11128600,25490824,25319213,171611,1809,25492633,1667303.8521,13549.725
2022,Total,321679,75967,397646,37138923,15331957,52470880,33217553,19253327,52470880,51683556,787324,1308,52472188,1437811.7658,7714.7945
2023,Total,357568,84401,441969,43339518,18548110,61887628,39431773,22455853,61887628,61078007,809621,1958,61889586,1378040.523,5898.156
2024,Total,119307,28210,147517,13866634,6000294,19866928,12234469,7632459,19866928,19677962,188966,451,19867379,494255.601,2151.73
